Mag/IP,True/Mir,BP,M/S/A,LVR + Src Pin,Cav. Map. Load,LV Schem. Load
ip,True,alpha,M,58_J13_8,DCB_3_alpha_a,DCB_11_alpha_a
ip,True,alpha,S,58_J13_6,DCB_3_alpha_a,DCB_11_alpha_a
ip,True,alpha,M,58_J13_4,DCB_11_alpha_a,DCB_3_alpha_a
ip,True,alpha,S,58_J13_2,DCB_11_alpha_a,DCB_3_alpha_a
ip,Mirror,alpha,M,58_J13_8,DCB_3_alpha_a,DCB_11_alpha_a
ip,Mirror,alpha,S,58_J13_6,DCB_3_alpha_a,DCB_11_alpha_a
ip,Mirror,alpha,M,58_J13_4,DCB_11_alpha_a,DCB_3_alpha_a
ip,Mirror,alpha,S,58_J13_2,DCB_11_alpha_a,DCB_3_alpha_a
mag,True,alpha,M,22_J12_4,PT_b_alpha_S0S_P1W,PT_b_alpha_S0S_P1E
mag,True,alpha,M,22_J12_8,PT_b_alpha_S0S_P1W,PT_b_alpha_S0S_P1E
mag,True,alpha,S,21_J12_4,PT_b_alpha_S0S_P2W,PT_b_alpha_S0S_P2E
mag,True,alpha,S,21_J12_8,PT_b_alpha_S0S_P2W,PT_b_alpha_S0S_P2E
mag,True,alpha,M,22_J13_4,PT_b_alpha_S0M_P1W,PT_b_alpha_S0M_P1E
mag,True,alpha,M,22_J13_8,PT_b_alpha_S0M_P1W,PT_b_alpha_S0M_P1E
mag,True,beta,A,24_J12_2,PT_b_beta_S0M_P1W,Depopulated in LV Schem.!
mag,True,gamma,A,24_J13_2,PT_b_gamma_S0M_P1W,Depopulated in LV Schem.!
mag,True,alpha,M,21_J13_4,PT_b_alpha_S1S_P1W,PT_b_alpha_S1S_P1E
mag,True,alpha,M,21_J13_8,PT_b_alpha_S1S_P1W,PT_b_alpha_S1S_P1E
mag,True,alpha,M,23_J12_4,PT_b_alpha_S1M_P1W,PT_b_alpha_S1M_P1E
mag,True,alpha,M,23_J12_8,PT_b_alpha_S1M_P1W,PT_b_alpha_S1M_P1E
mag,True,alpha,M,10_J13_4,PT_b_alpha_X0M_P1W,PT_b_alpha_X0M_P1E
mag,True,alpha,M,10_J13_8,PT_b_alpha_X0M_P1W,PT_b_alpha_X0M_P1E
mag,True,alpha,M,10_J12_4,PT_b_alpha_X0S_P1W,PT_b_alpha_X0S_P1E
mag,True,alpha,M,10_J12_8,PT_b_alpha_X0S_P1W,PT_b_alpha_X0S_P1E
mag,True,alpha,S,9_J12_4,PT_b_alpha_X0S_P2W,PT_b_alpha_X0S_P2E
mag,True,alpha,S,9_J12_8,PT_b_alpha_X0S_P2W,PT_b_alpha_X0S_P2E
mag,True,alpha,M,11_J12_4,PT_b_alpha_X1M_P1W,PT_b_alpha_X1M_P1E
mag,True,alpha,M,11_J12_8,PT_b_alpha_X1M_P1W,PT_b_alpha_X1M_P1E
mag,True,alpha,M,9_J13_4,PT_b_alpha_X1S_P1W,PT_b_alpha_X1S_P1E
mag,True,alpha,M,9_J13_8,PT_b_alpha_X1S_P1W,PT_b_alpha_X1S_P1E
mag,Mirror,alpha,M,22_J12_4,PT_b_alpha_S0S_P1W,PT_b_alpha_S0S_P1E
mag,Mirror,alpha,M,22_J12_8,PT_b_alpha_S0S_P1W,PT_b_alpha_S0S_P1E
mag,Mirror,alpha,S,21_J12_4,PT_b_alpha_S0S_P2W,PT_b_alpha_S0S_P2E
mag,Mirror,alpha,S,21_J12_8,PT_b_alpha_S0S_P2W,PT_b_alpha_S0S_P2E
mag,Mirror,alpha,M,22_J13_4,PT_b_alpha_S0M_P1W,PT_b_alpha_S0M_P1E
mag,Mirror,alpha,M,22_J13_8,PT_b_alpha_S0M_P1W,PT_b_alpha_S0M_P1E
mag,Mirror,beta,A,24_J12_2,PT_b_beta_S0M_P1W,Depopulated in LV Schem.!
mag,Mirror,gamma,A,24_J13_2,PT_b_gamma_S0M_P1W,Depopulated in LV Schem.!
mag,Mirror,alpha,M,21_J13_4,PT_b_alpha_S1S_P1W,PT_b_alpha_S1S_P1E
mag,Mirror,alpha,M,21_J13_8,PT_b_alpha_S1S_P1W,PT_b_alpha_S1S_P1E
mag,Mirror,alpha,M,23_J12_4,PT_b_alpha_S1M_P1W,PT_b_alpha_S1M_P1E
mag,Mirror,alpha,M,23_J12_8,PT_b_alpha_S1M_P1W,PT_b_alpha_S1M_P1E
mag,Mirror,alpha,M,10_J13_4,PT_b_alpha_X0M_P1W,PT_b_alpha_X0M_P1E
mag,Mirror,alpha,M,10_J13_8,PT_b_alpha_X0M_P1W,PT_b_alpha_X0M_P1E
mag,Mirror,alpha,M,10_J12_4,PT_b_alpha_X0S_P1W,PT_b_alpha_X0S_P1E
mag,Mirror,alpha,M,10_J12_8,PT_b_alpha_X0S_P1W,PT_b_alpha_X0S_P1E
mag,Mirror,alpha,S,9_J12_4,PT_b_alpha_X0S_P2W,PT_b_alpha_X0S_P2E
mag,Mirror,alpha,S,9_J12_8,PT_b_alpha_X0S_P2W,PT_b_alpha_X0S_P2E
mag,Mirror,alpha,M,11_J12_4,PT_b_alpha_X1M_P1W,PT_b_alpha_X1M_P1E
mag,Mirror,alpha,M,11_J12_8,PT_b_alpha_X1M_P1W,PT_b_alpha_X1M_P1E
mag,Mirror,alpha,M,9_J13_4,PT_b_alpha_X1S_P1W,PT_b_alpha_X1S_P1E
mag,Mirror,alpha,M,9_J13_8,PT_b_alpha_X1S_P1W,PT_b_alpha_X1S_P1E
ip,True,alpha,M,54_J12_4,PT_a_alpha_S0S_P1W,PT_a_alpha_S0S_P1E
ip,True,alpha,M,54_J12_8,PT_a_alpha_S0S_P1W,PT_a_alpha_S0S_P1E
ip,True,alpha,S,53_J12_4,PT_a_alpha_S0S_P2W,PT_a_alpha_S0S_P2E
ip,True,alpha,S,53_J12_8,PT_a_alpha_S0S_P2W,PT_a_alpha_S0S_P2E
ip,True,alpha,M,54_J13_4,PT_a_alpha_S0M_P1W,PT_a_alpha_S0M_P1E
ip,True,alpha,M,54_J13_8,PT_a_alpha_S0M_P1W,PT_a_alpha_S0M_P1E
ip,True,alpha,M,53_J13_4,PT_a_alpha_S1S_P1W,PT_a_alpha_S1S_P1E
ip,True,alpha,M,53_J13_8,PT_a_alpha_S1S_P1W,PT_a_alpha_S1S_P1E
ip,True,alpha,M,55_J12_4,PT_a_alpha_S1M_P1W,PT_a_alpha_S1M_P1E
ip,True,alpha,M,55_J12_8,PT_a_alpha_S1M_P1W,PT_a_alpha_S1M_P1E
ip,True,alpha,S,44_J13_2,PT_a_alpha_X0M_P1E,PT_a_alpha_X0S_P1E
ip,True,alpha,S,44_J13_6,PT_a_alpha_X0M_P1E,PT_a_alpha_X0S_P1E
ip,True,alpha,M,44_J13_4,PT_a_alpha_X0M_P1W,PT_a_alpha_X0S_P1E
ip,True,alpha,M,44_J13_8,PT_a_alpha_X0M_P1W,PT_a_alpha_X0S_P1E
ip,True,alpha,S,44_J12_2,PT_a_alpha_X0S_P1E,PT_a_alpha_X0M_P1E
ip,True,alpha,S,44_J12_6,PT_a_alpha_X0S_P1E,PT_a_alpha_X0M_P1E
ip,True,alpha,M,44_J12_4,PT_a_alpha_X0S_P1W,PT_a_alpha_X0M_P1E
ip,True,alpha,M,44_J12_8,PT_a_alpha_X0S_P1W,PT_a_alpha_X0M_P1E
ip,True,alpha,S,43_J12_4,PT_a_alpha_X0S_P2W,PT_a_alpha_X0S_P2E
ip,True,alpha,S,43_J12_8,PT_a_alpha_X0S_P2W,PT_a_alpha_X0S_P2E
ip,True,alpha,M,45_J12_4,PT_a_alpha_X1M_P1W,PT_a_alpha_X1M_P1E
ip,True,alpha,M,45_J12_8,PT_a_alpha_X1M_P1W,PT_a_alpha_X1M_P1E
ip,True,alpha,M,43_J13_4,PT_a_alpha_X1S_P1W,PT_a_alpha_X1S_P1E
ip,True,alpha,M,43_J13_8,PT_a_alpha_X1S_P1W,PT_a_alpha_X1S_P1E
ip,Mirror,alpha,M,54_J12_4,PT_a_alpha_S0S_P1W,PT_a_alpha_S0S_P1E
ip,Mirror,alpha,M,54_J12_8,PT_a_alpha_S0S_P1W,PT_a_alpha_S0S_P1E
ip,Mirror,alpha,S,53_J12_4,PT_a_alpha_S0S_P2W,PT_a_alpha_S0S_P2E
ip,Mirror,alpha,S,53_J12_8,PT_a_alpha_S0S_P2W,PT_a_alpha_S0S_P2E
ip,Mirror,alpha,M,54_J13_4,PT_a_alpha_S0M_P1W,PT_a_alpha_S0M_P1E
ip,Mirror,alpha,M,54_J13_8,PT_a_alpha_S0M_P1W,PT_a_alpha_S0M_P1E
ip,Mirror,alpha,M,53_J13_4,PT_a_alpha_S1S_P1W,PT_a_alpha_S1S_P1E
ip,Mirror,alpha,M,53_J13_8,PT_a_alpha_S1S_P1W,PT_a_alpha_S1S_P1E
ip,Mirror,alpha,M,55_J12_4,PT_a_alpha_S1M_P1W,PT_a_alpha_S1M_P1E
ip,Mirror,alpha,M,55_J12_8,PT_a_alpha_S1M_P1W,PT_a_alpha_S1M_P1E
ip,Mirror,alpha,S,44_J13_2,PT_a_alpha_X0M_P1E,PT_a_alpha_X0S_P1E
ip,Mirror,alpha,S,44_J13_6,PT_a_alpha_X0M_P1E,PT_a_alpha_X0S_P1E
ip,Mirror,alpha,M,44_J13_4,PT_a_alpha_X0M_P1W,PT_a_alpha_X0S_P1E
ip,Mirror,alpha,M,44_J13_8,PT_a_alpha_X0M_P1W,PT_a_alpha_X0S_P1E
ip,Mirror,alpha,S,44_J12_2,PT_a_alpha_X0S_P1E,PT_a_alpha_X0M_P1E
ip,Mirror,alpha,S,44_J12_6,PT_a_alpha_X0S_P1E,PT_a_alpha_X0M_P1E
ip,Mirror,alpha,M,44_J12_4,PT_a_alpha_X0S_P1W,PT_a_alpha_X0M_P1E
ip,Mirror,alpha,M,44_J12_8,PT_a_alpha_X0S_P1W,PT_a_alpha_X0M_P1E
ip,Mirror,alpha,S,43_J12_4,PT_a_alpha_X0S_P2W,PT_a_alpha_X0S_P2E
ip,Mirror,alpha,S,43_J12_8,PT_a_alpha_X0S_P2W,PT_a_alpha_X0S_P2E
ip,Mirror,alpha,M,45_J12_4,PT_a_alpha_X1M_P1W,PT_a_alpha_X1M_P1E
ip,Mirror,alpha,M,45_J12_8,PT_a_alpha_X1M_P1W,PT_a_alpha_X1M_P1E
ip,Mirror,alpha,M,43_J13_4,PT_a_alpha_X1S_P1W,PT_a_alpha_X1S_P1E
ip,Mirror,alpha,M,43_J13_8,PT_a_alpha_X1S_P1W,PT_a_alpha_X1S_P1E
